,page,country,article_quality_est,Population
43631,Lev Kamenev,Russia,C,146733000.0
43632,Khalifa bin Zayed Al Nahyan,United Arab Emirates,C,9778000.0
43633,Amin Iskander,Egypt,Start,100803000.0
43634,V. Volodarsky,Russia,C,146733000.0
43635,Ramesh Pathirana,Sri Lanka,Stub,21937000.0
43636,Kirti Nidhi Bista,Nepal,Stub,29996000.0
43637,José Guedes de Carvalho e Meneses,Mozambique,Stub,31166000.0
43638,Lokendra Bahadur Chand,Nepal,Stub,29996000.0
43639,Pushpa Kamal Dahal,Nepal,C,29996000.0
43640,Stephen Hopkins (politician),United States,FA,329878000.0
43641,Krishna Prasad Bhattarai,Nepal,C,29996000.0
43642,Tulsi Giri,Nepal,Start,29996000.0
43643,Marich Man Singh Shrestha,Nepal,Start,29996000.0
43644,Festus Okotie-Eboh,Nigeria,Start,206140000.0
43645,Man Mohan Adhikari,Nepal,Start,29996000.0
43646,Majid Movaghar,Iran,Stub,84150000.0
43647,Kunwar Inderjit Singh,Nepal,Start,29996000.0
43648,Dev Shumsher Jang Bahadur Rana,Nepal,C,29996000.0
43649,Ahmed Maiteeq,Libya,C,6891000.0
43650,James Baby,Canada,Start,38190000.0
43651,Lee Chung-wei,Taiwan,Stub,23610000.0
43652,"Glenys Kinnock, Baroness Kinnock of Holyhead",United Kingdom,C,67160000.0
43653,Giuseppe Mazzini,Italy,B,60296000.0
43654,Achille Tramarin,Italy,Start,60296000.0
43655,Antonio Carlos Barrios Fernández,Paraguay,Stub,7255000.0
43656,Allen Chastanet,Saint Lucian,Start,
43657,Valeriy Chaly (diplomat),Ukraine,Start,41778000.0
43658,Alena Dernerová,Czech Republic,Stub,
43659,Daya Gamage,Sri Lanka,Start,21937000.0
43660,Abbas Maleki,Iran,Stub,84150000.0
43661,Christopher Bernevall,Ireland,Start,5003000.0
43662,Chaudhary Muhammad Ali,Pakistan,Start,220940000.0
43663,Jean-Paul Marat,France,B,64940000.0
43664,Sayyid Qutb,Egypt,B,100803000.0
43665,Jocelyn Benson,United States,C,329878000.0
43666,Jonathan-Simon Sellem,France,Start,64940000.0
43667,Ki Dong-min,South Korea,Start,
43668,Ian Mikardo,United Kingdom,B,67160000.0
43669,Darius Ishaku,Nigeria,Start,206140000.0
43670,Julio César Franco,Paraguay,Stub,7255000.0
43671,Habibullāh Kalakāni,Afghanistan,C,38928000.0
43672,Gabriel Gómez Michel,Mexico,Stub,127792000.0
43673,Gregorio Luperón,Dominican Republic,Start,10500000.0
43674,Ulises Heureaux,Dominican Republic,C,10500000.0
43675,Héctor Lacognata,Paraguay,Stub,7255000.0
43676,Arstanbek Abdyldayev,Kyrgyzstan,Stub,6594000.0
43677,Kang Yong-suk,"Korea, South",Start,51781000.0
43678,Juan Isidro Jimenes Pereyra,Dominican Republic,Stub,10500000.0
43679,José Pedro Montero,Paraguay,Start,7255000.0
43680,Ahrn Palley,Zimbabwe,C,14863000.0
43681,Alejandro Toledo,Peru,B,32824000.0
43682,Marie-Louise Coleiro Preca,Malta,C,522000.0
43683,Jacobo Majluta Azar,Dominican Republic,Start,10500000.0
43684,Mohamed Abdi Dhinbil (Galbeedi),Somalia,Stub,15893000.0
43685,Leonel Fernández,Dominican Republic,C,10500000.0
43686,Baklai Temengil,Palauan,Start,
43687,"Alfred Milner, 1st Viscount Milner",Cape Colony,C,
43688,Vice President of the Federated States of Micronesia,Federated States of Micronesia,Stub,106000.0
43689,Kléber Dadjo,Togo,Start,8279000.0
43690,Abdullah CD,Malaysia,Start,32781000.0
43691,Barham Salih,Iraq,Start,39725000.0
43692,Leo Varadkar,India,C,1400100000.0
43693,Muhammad Osman Said,Libya,Stub,6891000.0
43694,Nestor Lakoba,Abkhazia,C,
43695,Ayanda Dlodlo,South Africa,Stub,59628000.0
43696,Emmanuel Bwacha,Nigeria,Start,206140000.0
43697,Smiður Andrésson,Iceland,Stub,368000.0
43698,Khan of Heaven,China,Start,1402385000.0
43699,Simon Dogari,Nigeria,Stub,206140000.0
43700,Renee Soskin,United Kingdom,B,67160000.0
43701,Venceslau Brás,Brazil,Start,211812000.0
43702,President of the Republic of China,Taiwan,C,23610000.0
43703,Amir Abdullah Khan Rokhri,Pakistan,Start,220940000.0
43704,Pál Teleki,Hungary,FA,9767000.0
43705,Shelley Hancock,Australia,C,25754000.0
43706,Alan Sugar,United Kingdom,GA,67160000.0
43707,Ali Mekdad,Lebanon,Stub,6825000.0
43708,Steingrímur J. Sigfússon,Iceland,Start,368000.0
43709,Ramón Cáceres,Dominican Republic,Start,10500000.0
43710,Victoria Neave,United States,Stub,329878000.0
43711,Edward Carson,United Kingdom,C,67160000.0
43712,Angelika Muharukua,Namibia,Start,2541000.0
43713,Edmundo Orellana,Honduras,Stub,9864000.0
43714,Ger Koopmans,Netherlands,Stub,17467000.0
43715,Chairman of the Workers' Party of Korea,"Korea, North",C,25779000.0
43716,Tofik Dibi,Netherlands,Start,17467000.0
43717,Bao Zheng,China,FA,1402385000.0
43718,Qiao Chuanxiu,China,Stub,1402385000.0
43719,Jessica Jordan,Bolivia,Start,11633000.0
43720,Liu Wei (politician),China,Stub,1402385000.0
43721,Liu Jiayi,China,Start,1402385000.0
43722,Shin Sung-mo,South Korea,Stub,
43723,Dolores Johnson Sastre,Spain,Start,47635000.0
43724,Joice Mujuru,Zimbabwe,C,14863000.0
43725,Inonge Mbikusita-Lewanika,Zambia,Start,18384000.0
43726,Barzani family,Iran,Stub,84150000.0
43727,Puakena Boreham,Tuvalu,Start,10000.0
43728,Francis Nkwain,Cameroon,Stub,26598000.0
43729,Gil Cabral,Portugal,Start,10255000.0
43730,Dan White,United States,C,329878000.0
43731,Rafic Hariri,Lebanon,C,6825000.0
43732,Malcolm Fraser,Australia,GA,25754000.0
43733,Chris Watson,Australia,GA,25754000.0
43734,Herbert Bankole-Bright,Sierra Leone,Start,7977000.0
43735,Richard Dobbs Spaight,United States,C,329878000.0
43736,Zhang Jiucheng,China,Stub,1402385000.0
43737,Sam Walsh,Canada,Start,38190000.0
43738,Lucía Medina,Dominican Republic,Stub,10500000.0
43739,Le Cong Dinh,Vietnam,C,96209000.0
43740,Julia Gillard,Australia,FA,25754000.0
43741,Hayat Sindi,Saudi Arabia,C,35041000.0
43742,Paul Kagame,Rwanda,FA,12952000.0
43743,President of Malawi,Malawi,Start,19130000.0
43744,Murat Karayılan,Turkey,Start,83737000.0
43745,Albert E. Fox,United Kingdom,GA,67160000.0
43746,Abdul Azeez Abdul Rahim,Malaysia,Start,32781000.0
43747,Irma Dimas,El Salvador,Start,6481000.0
43748,Agustín Delgado,Ecuador,C,17511000.0
43749,Alex Moscovitch,France,Start,64940000.0
43750,Yossi Cohen,Israel,Start,9216000.0
43751,Annita á Fríðriksmørk,Faroese,Start,
43752,Islam Karimov,Uzbekistan,FA,34174000.0
43753,Adrian Delia,Malta,Start,522000.0
43754,Cheikh Mokrani,Algeria,Start,44357000.0
43755,Meira Kumar,India,C,1400100000.0
43756,Mohammad Roem,Indonesia,C,271739000.0
43757,"Francisco Coutinho, 4th count of Marialva",Portugal,Start,10255000.0
43758,Esther Barsel,South Africa,Start,59628000.0
43759,Abdus Samad Azad,Bangladesh,Start,169809000.0
43760,Helen Suzman,South Africa,C,59628000.0
43761,Rachel Simons,South Africa,Start,59628000.0
43762,Vittorio Fossombroni,Italy,Start,60296000.0
43763,Pietro Paleocapa,Italy,Start,60296000.0
43764,Michael Poeschke,Germany,Start,83300000.0
43765,Maurice Rioli,Australia,C,25754000.0
43766,José Manuel Barroso,Portugal,C,10255000.0
43767,The Great Sasuke,Japan,C,125967000.0
43768,Miriam Defensor Santiago,Philippines,B,109581000.0
43769,Malik Al-Hassan Yakubu,Ghana,Stub,31073000.0
43770,Mohammed Abdullah Hassan,Somalia,C,15893000.0
43771,Bernadette Chirac,France,Start,64940000.0
43772,Mojtaba Khamenei,Iran,C,84150000.0
43773,Ted Kennedy,Ireland,FA,5003000.0
43774,Vilja Toomast,Estonia,Start,1331000.0
43775,Koch family,United States,C,329878000.0
43776,Mohammed Omar,Afghanistan,B,38928000.0
43777,Ivan Bauer,Serbia,Start,6957000.0
43778,Salvador Allende,Chile,B,19470000.0
43779,Maryam Nawaz,Pakistan,C,220940000.0
43780,Edith Cowan,Australia,C,25754000.0
43781,Governor-General of Papua New Guinea,Papua New Guinea,Start,8950000.0
43782,"Zaifeng, Prince Chun",China,C,1402385000.0
43783,Antun Sorkočević,Croatia,Start,4020000.0
43784,Beckstar Sangma,India,Stub,1400100000.0
43785,Precious Hipolito,Philippines,Start,109581000.0
43786,List of South African politicians,South Africa,Start,59628000.0
43787,Djoueria Abdallah,Comoros,Stub,870000.0
43788,Nita Barrow,Barbados,Start,287000.0
43789,Francisca Primo,Brazil,Stub,211812000.0
43790,Cecily Mutitu Mbarire,Kenya,Stub,53528000.0
43791,Susanto Tirtoprodjo,Indonesia,Stub,271739000.0
43792,Godefroy Calès,France,C,64940000.0
43793,Momir Bulatović,Montenegro,Start,622000.0
43794,Pádraig Flynn,Ireland,C,5003000.0
43795,M. Anwar Hossain,Bangladesh,C,169809000.0
43796,"Juan Ruiz de Apodaca, 1st Count of Venadito",Spain,C,47635000.0
43797,Turkestan Bhittani,Pakistan,Start,220940000.0
43798,Robert Martin (anti-war activist),Australia,Stub,25754000.0
43799,Kennedy Agyapong,Ghana,Stub,31073000.0
43800,Peter Hain,United Kingdom,GA,67160000.0
43801,S.G. Murugaiyan,India,C,1400100000.0
43802,Thaddeus Stevens,United States,FA,329878000.0
43803,Marian Jurečka,Czech Republic,Stub,
43804,House of Khalifa,Bahrain,C,1465000.0
43805,Heydar Aliyev,Russia,GA,146733000.0
43806,Kosrat Rasul Ali,Iraq,C,39725000.0
43807,Budiman Mohd Zohdi,Malaysia,C,32781000.0
43808,Mehmet Emin Yurdakul,Turkey,Start,83737000.0
43809,Ioannis Kapodistrias,Greece,FA,10700000.0
43810,O le Ao o le Malo,Samoan,GA,
43811,"Luís Pinto de Soveral, 1st Marquis of Soveral",Portugal,Start,10255000.0
43812,Leni Robredo,Philippines,FA,109581000.0
43813,Manuel José Arce,El Salvador,Start,6481000.0
43814,James Orengo,Kenya,Start,53528000.0
43815,Vitalino Canas,Portugal,Start,10255000.0
43816,Dénes Berinkey,Hungary,Start,9767000.0
43817,Mohammad-Mehdi Abdekhodaei,Iran,Stub,84150000.0
43818,Ingo Wellenreuther,Germany,Stub,83300000.0
43819,Neil Kinnock,United Kingdom,C,67160000.0
43820,V. Radhika Selvi,India,Stub,1400100000.0
43821,Asadollah Badamchian,Iran,Stub,84150000.0
43822,Honório Novo,Portugal,Start,10255000.0
43823,Lamin Kaba Bajo,Gambia,C,2417000.0
43824,Alieu Ebrima Cham Joof,Gambia,GA,2417000.0
43825,Anusha Rahman,Pakistan,GA,220940000.0
43826,Abdul Ghafoor Chaudhry,Pakistan,Stub,220940000.0
43827,Solange Fernex,France,Stub,64940000.0
43828,Yohannes IV,Ethiopia,C,114916000.0
43829,Tadatoshi Akiba,Japan,C,125967000.0
43830,Iccho Itoh,Japan,Start,125967000.0
43831,Gyula Andrássy,Hungary,C,9767000.0
43832,Thelma Chalifoux,Canada,C,38190000.0
43833,Gilberto Freyre,Brazil,C,211812000.0
43834,Prospère Mushobekwa,"Congo, Dem. Rep. of",Stub,
43835,Alpha Timbo,Sierra Leone,Start,7977000.0
43836,Jamal Benomar,Morocco,C,35952000.0
43837,Chang Sŏng-min,"Korea, South",Start,51781000.0
43838,Chun Jung-bae,South Korea,Start,
43839,Kim Han-gil,Japan,Start,125967000.0
43840,"List of members of the National Assembly (South Korea), 2012–2016",South Korea,Start,
43841,Hussein Abdi Dualeh,Somalia,Start,15893000.0
43842,Edward Blake,Canada,C,38190000.0
43843,Joseph Bologne (politician),Belgium,Stub,11515000.0
43844,Ignacio Velázquez Rivera,Spain,Stub,47635000.0
43845,Madan Bhandari,Nepal,C,29996000.0
43846,Giorgia Meloni,Italy,C,60296000.0
43847,Vittorio Emanuele Taparelli d'Azeglio,Italy,Stub,60296000.0
43848,Samuil Greig,Russia,Stub,146733000.0
43849,Maurice Bourgès-Maunoury,France,Start,64940000.0
43850,Magno Malta,Brazil,Stub,211812000.0
43851,Johnson Aguiyi-Ironsi,Nigeria,C,206140000.0
43852,Pavel Bělobrádek,Czech Republic,Stub,
43853,Shintaro Ishihara,Japan,C,125967000.0
43854,Biram Dah Abeid,Mauritania,GA,4650000.0
43855,Irungu Kang'ata,Kenya,GA,53528000.0
43856,Sayyida al Hurra,Morocco,C,35952000.0
43857,Evgeny Markin,Russia,Start,146733000.0
43858,Willie Littlechild,Canada,Start,38190000.0
43859,Narcís Serra,Spain,Stub,47635000.0
43860,Chaudhry Muhammad Ashraf,Pakistan,Stub,220940000.0
43861,Chaudhry Saeed Iqbal,Pakistan,Stub,220940000.0
43862,Chaudhry Saud Majeed,Pakistan,Stub,220940000.0
43863,Lenín Moreno,Ecuador,C,17511000.0
43864,Chaudhry Zahid Iqbal,Pakistan,Stub,220940000.0
43865,Tooker Gomberg,Canada,Start,38190000.0
43866,Milton Margai,Sierra Leone,C,7977000.0
43867,Bérangère Couillard,France,Stub,64940000.0
43868,Deniz Baykal,Turkey,C,83737000.0
43869,Pedro Chaves dos Santos,Brazil,Stub,211812000.0
43870,Martha Chávez,Peru,C,32824000.0
43871,Albert Zafy,Madagascar,B,27691000.0
43872,Margarita Chávez Murguía,Mexico,Stub,127792000.0
43873,María Elena Chávez Palacios,Mexico,Stub,127792000.0
43874,Khadija Arib,Netherlands,Start,17467000.0
43875,Gramoz Ruçi,Albania,Start,2838000.0
43876,Mariam Jack-Denton,Gambia,Start,2417000.0
43877,Masoud Nosrati,Iran,Stub,84150000.0
43878,President of El Salvador,El Salvador,Stub,6481000.0
43879,Abdul Quader Molla,Bangladesh,B,169809000.0
43880,Ulrike Lunacek,Austria,C,8914000.0
43881,Johanna Mikl-Leitner,Austria,Start,8914000.0
43882,Funsho Williams,Nigeria,Start,206140000.0
43883,Jorge Rafael Videla,Argentina,C,45377000.0
43884,Mercedes Aráoz,Peru,Start,32824000.0
43885,Anette Trettebergstuen,Norway,Stub,5387000.0
43886,Natan Sharansky,Israel,C,9216000.0
43887,Masud Gharahkhani,Norway,Start,5387000.0
43888,Steve Kerrigan,United States,C,329878000.0
43889,Kjersti Toppe,Norway,Stub,5387000.0
43890,Kathleen Kennedy Townsend,Ireland,C,5003000.0
43891,"Frederick, Hereditary Prince of Denmark",Norway,Start,5387000.0
43892,Loffo Camara,Guinea,Start,12560000.0
43893,Kung Ming-hsin,Taiwan,Stub,23610000.0
43894,Elisabeth Johansen,Denmark,C,5829000.0
43895,Aoua Kéita,Mali,Start,20251000.0
43896,Attique Ahmed Khan,Pakistan,Start,220940000.0
43897,Pascual Orozco,Mexico,C,127792000.0
43898,"Robert Stewart, Viscount Castlereagh",United Kingdom,C,67160000.0
43899,Soran Singh,Pakistan,Start,220940000.0
43900,Laeta Umbrey,India,Stub,1400100000.0
43901,Wangpha Lowang,India,Stub,1400100000.0
43902,Sobeng Tayeng,India,Stub,1400100000.0
43903,Jeong In-hong,"Korea, South",Start,51781000.0
43904,Frank Owhor,Nigeria,Stub,206140000.0
43905,Han Duck-soo,South Korea,Start,
43906,Augustus Obuadum Tanoh,Ghana,C,31073000.0
43907,Kamisese Mara,Fiji,Start,896000.0
43908,Quincy political family,United States,Start,329878000.0
43909,Sanford Marak,India,Stub,1400100000.0
43910,Mike Ward (New Zealand politician),New Zealand,C,4987000.0
43911,Gloria Akuffo,Ghana,Start,31073000.0
43912,Emperor Gaozong of Tang,China,B,1402385000.0
43913,Emperor Zhaozong of Tang,China,B,1402385000.0
43914,Lin Ching-yi,Taiwan,Start,23610000.0
43915,Raisa Bogatyrova,Ukraine,C,41778000.0
43916,Javier Pérez de Cuéllar,Peru,C,32824000.0
43917,Anne Waiguru,Kenya,C,53528000.0
43918,Lincoln family,United States,Start,329878000.0
43919,Mahanama Samaraweera,Sri Lanka,Start,21937000.0
43920,William McDougall (politician),Canada,C,38190000.0
43921,1st Plurinational Legislative Assembly of Bolivia,Bolivia,C,11633000.0
43922,Francisco Guterres,Timor Leste,Start,
43923,Enzo Bianco,Italy,Start,60296000.0
43924,Neil Young (judge),Australia,Start,25754000.0
43925,Karen Karapetyan,Armenia,Start,2956000.0
43926,Gloria Macapagal Arroyo,Philippines,GA,109581000.0
43927,Valentine Strasser,Sierra Leone,C,7977000.0
43928,Salih Muslim Muhammad,Syria,C,19398000.0
43929,Dimitrije Davidović,Serbia,C,6957000.0
43930,Roh Tae-woo,South Korea,C,
43931,Abhisit Vejjajiva,Thailand,GA,66534000.0
43932,Chang Chi-yun,Taiwan,Stub,23610000.0
43933,Jacques Grippa,Belgium,Stub,11515000.0
43934,Nicholas Brokam,Papua New Guinea,Stub,8950000.0
43935,Widow's succession,United States,Start,329878000.0
43936,Võ Nguyên Giáp,Vietnam,FA,96209000.0
43937,Allan Savory,Zimbabwe,GA,14863000.0
43938,Sergei Pugachev,Russia,B,146733000.0
43939,Mahamadou Issoufou,Niger,GA,24189000.0
43940,Cheng Li-chun,Taiwan,Start,23610000.0
43941,Josif Mihajlović Jurukovski,Macedonia,Start,
43942,Saif bin Zayed Al Nahyan,United Arab Emirates,C,9778000.0
43943,Harrison family of Virginia,United States,B,329878000.0
43944,Lee family,United States,C,329878000.0
43945,Roosevelt family,United States,C,329878000.0
43946,Kartik Oraon,India,Stub,1400100000.0
43947,Donald Tusk,Poland,GA,38368000.0
43948,Ron Huldai,Israel,Start,9216000.0
43949,Serhii Rudyk,Ukraine,C,41778000.0
43950,Sylvie Kinigi,Burundi,Start,11866000.0
43951,Agathe Uwilingiyimana,Rwanda,C,12952000.0
43952,Struve family,Russia,B,146733000.0
43953,Shigeru Yoshida,Japan,C,125967000.0
43954,Fumimaro Konoe,Japan,C,125967000.0
43955,Álvaro Uribe,Colombia,B,49444000.0
43956,Maurie Sheehy,Australia,Start,25754000.0
43957,Madam Yoko,Sierra Leone,Start,7977000.0
43958,Moses Kuria,Kenya,Stub,53528000.0
43959,Leung Chun-ying,China,GA,1402385000.0
43960,Jerry Dolan,Australia,Start,25754000.0
43961,Ross Hutchinson,Australia,C,25754000.0
43962,James Michael Curley,United States,GA,329878000.0
43963,Jill Hennessy (politician),Australia,Start,25754000.0
43964,Arturo Enrile,Philippines,Start,109581000.0
43965,Samantha Cazebonne,France,Stub,64940000.0
43966,Marinko Čavara,Bosnia-Herzegovina,Start,3281000.0
43967,Anne Genetet,France,Stub,64940000.0
43968,Harry Tisch,Germany,Stub,83300000.0
43969,Glynnis Breytenbach,South Africa,Start,59628000.0
43970,Bogd Khan,Mongolia,GA,3361000.0
43971,Delwar Hossain Sayeedi,Bangladesh,B,169809000.0
43972,Luang Wichitwathakan,Thailand,C,66534000.0
43973,Pridi Banomyong,Thailand,C,66534000.0
43974,Muhammad Nsereko,Uganda,Start,45741000.0
43975,Betty Nambooze,Uganda,Start,45741000.0
43976,Liu Xin,China,C,1402385000.0
43977,Zunaid Ahmed Palak,Bangladesh,C,169809000.0
43978,Leslie Williams (politician),Australia,Start,25754000.0
43979,Bob Hawke,Australia,C,25754000.0
43980,H. B. Rambukwella,Sri Lanka,Stub,21937000.0
43981,Ii Naosuke,Japan,C,125967000.0
43982,Sukhumbhand Paribatra,Thailand,C,66534000.0
43983,Sudarat Keyuraphan,Thailand,Start,66534000.0
43984,Chanut Piyaoui,Thailand,C,66534000.0
43985,Justas Paleckis,Russia,Start,146733000.0
43986,List of sultans of the Maldives,Maldives,B,541000.0
43987,Zico,Brazil,GA,211812000.0
43988,John H. Hager,United States,C,329878000.0
43989,Mubashir Lucman,Pakistan,Start,220940000.0
43990,President of Montenegro,Montenegro,Start,622000.0
43991,Bishwanath Roy,India,Stub,1400100000.0
43992,Božina Ivanović,Montenegro,Start,622000.0
43993,Gnassingbé Eyadéma,Togo,C,8279000.0
43994,Hiroaki Nagasawa,Japan,Start,125967000.0
43995,Abdusalom Azizov,Uzbekistan,Stub,34174000.0
43996,Claudia López Hernández,Colombia,C,49444000.0
43997,Margaret Beckett,United Kingdom,C,67160000.0
43998,Rafael Pineda Ponce,Honduras,C,9864000.0
43999,Aung San Suu Kyi,Myanmar,GA,54704000.0
44000,Paul Keating,Australia,B,25754000.0
44001,Nicolae Cajal,Romania,Stub,19241000.0
44002,Rao Qaiser Ali Khan,Pakistan,Stub,220940000.0
44003,Han Myeong-sook,South Korea,C,
44004,Sethrida Geagea,Lebanon,Start,6825000.0
44005,Tunde Eso,Nigeria,Start,206140000.0
44006,Gabriela Cuevas Barron,Mexico,Start,127792000.0
44007,Sheikh Hasina,Bangladesh,B,169809000.0
44008,Asif Ali Zardari,Pakistan,GA,220940000.0
44009,Khaleda Zia,Bangladesh,GA,169809000.0
44010,Peter Mandelson,United Kingdom,GA,67160000.0
44011,Choo Mi-ae,South Korea,C,
44012,Imee Marcos,Philippines,C,109581000.0
44013,Sardar Surjit Singh Majithia,India,Stub,1400100000.0
44014,Amine Gemayel,Lebanon,C,6825000.0
44015,Ephraim Apelis,Papua New Guinea,Start,8950000.0
44016,Daniel Aweyue Syme,Ghana,Stub,31073000.0
44017,Naja'atu Bala Muhammad,Nigeria,Stub,206140000.0
44018,Eugène Serufuli Ngayabaseka,"Congo, Dem. Rep. of",Start,
44019,Julien Paluku Kahongya,"Congo, Dem. Rep. of",C,
44020,List of heads of state of Panama,Panama,C,4283000.0
44021,Heinz Kessler,Germany,C,83300000.0
44022,"Christopher St Lawrence, 10th Baron Howth",Ireland,C,5003000.0
44023,Patricio French,Spain,Start,47635000.0
44024,Chirayu Isarangkun Na Ayuthaya,Thailand,Start,66534000.0
44025,Tabitha Sybil Quaye,Ghana,Stub,31073000.0
44026,Milka Planinc,Croatia,C,4020000.0
44027,Paritala Ravindra,India,C,1400100000.0
44028,Janet Jagan,Guyana,B,787000.0
44029,Tamunosisi Gogo Jaja,Nigeria,Stub,206140000.0
44030,Chitchai Wannasathit,Thailand,Stub,66534000.0
44031,Reijo Hongisto,Finland,Stub,5529000.0
44032,Ruhama Avraham,Israel,C,9216000.0
44033,Iya Abubakar,Nigeria,Start,206140000.0
44034,Marie Casimire Louise de La Grange d'Arquien,Poland,C,38368000.0
44035,Mohamad Chatah,Lebanon,Start,6825000.0
44036,Anton Kochinyan,Armenia,Stub,2956000.0
44037,Peter Eckersley (cricketer),United Kingdom,Stub,67160000.0
44038,Sergei Obukhov,Russia,Stub,146733000.0
44039,Iain Duncan Smith,United Kingdom,B,67160000.0
44040,Pauli Kiuru,Finland,Stub,5529000.0
44041,Oby Ezekwesili,Nigeria,C,206140000.0
44042,Jovica Stanišić,Serbia,Start,6957000.0
44043,Mahatma Gandhi,India,FA,1400100000.0
44044,Kinwun Mingyi U Kaung,Myanmar,C,54704000.0
44045,Marta Suplicy,Brazil,C,211812000.0
44046,Roman Abramovich,Russia,B,146733000.0
44047,Ali Bozer,Turkey,Start,83737000.0
44048,Obi Wali,Nigeria,C,206140000.0
44049,Patrick Abba Moro,Nigeria,Start,206140000.0
44050,Yury Kokov,Russia,Stub,146733000.0
44051,Ibrahim Adetola-Kazeem,Nigeria,Start,206140000.0
44052,Jüri Tamm,Estonia,Start,1331000.0
44053,Bartholomew Nnaji,Nigeria,Start,206140000.0
44054,Prince Carl of Solms-Braunfels,Austria,C,8914000.0
44055,Petra De Sutter,Belgium,Start,11515000.0
44056,Sultan Mahmud (minister),Myanmar,Start,54704000.0
44057,Goedele Vermeiren,Belgium,Stub,11515000.0
44058,Ponatshego Kedikilwe,Botswana,Start,2317000.0
44059,Eamonn Coghlan,Ireland,C,5003000.0
44060,Sultan bin Abdulaziz Al Saud,Saudi Arabia,GA,35041000.0
44061,Asmar Asmar,Lebanon,Stub,6825000.0
44062,Wolfe Tone,Ireland,C,5003000.0
44063,Lotte Toberentz,Germany,Start,83300000.0
44064,Penaia Kadavulevu,Fiji,Stub,896000.0
44065,Maureen Waaka,New Zealand,Start,4987000.0
44066,Helen Zille,South Africa,B,59628000.0
44067,Goh Leong San,Malaysia,GA,32781000.0
44068,Hafizullah Amin,Afghanistan,GA,38928000.0
44069,Mónica Xavier,Uruguay,Stub,3531000.0
44070,Zoran Jolevski,Macedonia,C,
44071,Litia Cakobau,Fiji,Stub,896000.0
44072,Samanunu Cakobau-Talakuli,Fiji,Start,896000.0
44073,Alassane Ouattara,Ivorian,B,
44074,Gojen Gadi,India,Stub,1400100000.0
44075,"George Cakobau, Jr.",Fiji,Stub,896000.0
44076,Thabit Abdi Mohammed,Somalia,Stub,15893000.0
44077,Cécile La Grenade,Grenada,Start,113000.0
44078,Otmar Hasler,Liechtenstein,Stub,39000.0
44079,List of heads of government of Liechtenstein,Liechtenstein,Start,39000.0
44080,Emine Ülker Tarhan,Turkey,Start,83737000.0
44081,Levon Ter-Petrosyan,Armenia,C,2956000.0
44082,Cholpon Sultanbekova,Kyrgyzstan,C,6594000.0
44083,Ture Malmgren,Sweden,GA,10377000.0
44084,Jean-Baptiste Ouédraogo,Burkina Faso,Stub,20903000.0
44085,Fernando de Leyba,Spain,Start,47635000.0
44086,Margrethe Vestager,Denmark,GA,5829000.0
44087,Alexander Stroganov,Russia,Stub,146733000.0
44088,Matthias Erzberger,Germany,C,83300000.0
44089,Anerood Jugnauth,Mauritius,C,1265000.0
44090,Ghulam Bibi Bharwana,Pakistan,Start,220940000.0
44091,Melina Mercouri,Greece,C,10700000.0
44092,Dan Ťok,Czech Republic,Stub,
44093,Yu Chen Yueh-ying,Taiwan,Start,23610000.0
44094,Marat Khusnullin,Russia,C,146733000.0
44095,Shen Kuo,China,FA,1402385000.0
44096,Su Shi,China,C,1402385000.0
44097,Su Song,China,FA,1402385000.0
44098,Philip Goodhart,United Kingdom,Start,67160000.0
44099,Ban Zhao,China,C,1402385000.0
44100,Mohamed Afrah Qanyare,Somalia,C,15893000.0
44101,Savo Zlatić,Croatia,C,4020000.0
44102,Abdelghani Bousta,Morocco,C,35952000.0
44103,Arthur Cutts,Australia,Stub,25754000.0
44104,Anne Begg,United Kingdom,C,67160000.0
44105,Alexander Sergeyevich Yakovlev,Russia,Start,146733000.0
44106,William the Silent,Netherlands,B,17467000.0
44107,Anam Kazim,Canada,Start,38190000.0
44108,Salma Zahid,Canada,Start,38190000.0
44109,Muhammad Fiaz,Canada,Stub,38190000.0
44110,Yasir Naqvi,Canada,C,38190000.0
44111,Shad Qadri,Canada,Start,38190000.0
44112,Hermann von Stengel,Germany,Start,83300000.0
44113,Albino Aroso,Portugal,Start,10255000.0
44114,Andrei Vladimirovich Bogdanov,Russia,C,146733000.0
44115,Francisco Luís Gomes,Portugal,C,10255000.0
44116,Smedley Butler,United States,FA,329878000.0
44117,Joaquim Heliodoro da Cunha Rivara,Portugal,C,10255000.0
44118,József Teleki,Hungary,Stub,9767000.0
44119,Cardinal Mazarin,Italy,C,60296000.0
44120,Bjørn Ihler,Norway,Stub,5387000.0
44121,Ramush Haradinaj,Kosovo,C,1791000.0
44122,Parveen Amanullah,India,Stub,1400100000.0
44123,Simón de Herrera,Spain,C,47635000.0
44124,Yaowapa Boorapolchai,Thailand,Start,66534000.0
44125,Mauricio Mulder,Peru,Start,32824000.0
44126,Jonathan Kings,Tokelauan,Stub,
44127,Evangelos Basiakos,Greece,Start,10700000.0
44128,Administrator of Tokelau,Tokelauan,Start,
44129,Amelia Best,Australia,Stub,25754000.0
44130,John Dramani Mahama,Ghana,C,31073000.0
44131,Andargachew Tsige,Ethiopia,C,114916000.0
44132,Carla Bruni,France,GA,64940000.0
44133,Robert Campbell Begg,New Zealand,Stub,4987000.0
44134,General Rani,Pakistan,Start,220940000.0
44135,Xu Guangqi,China,C,1402385000.0
